patent_id,patent_title,patent_date
10000231,Device for applying an auxiliary force in a motor vehicle steering system,2018-06-19
10000232,Steering assist device,2018-06-19
10000233,Method of controlling an inverter during MOSFET shorts,2018-06-19
10000234,Steering control apparatus and method of steer-by-wire system,2018-06-19
10000235,Steering control device,2018-06-19
10000236,Vehicle control device,2018-06-19
10000237,Driving support device for vehicle steering systems in lane assist and collision avoidance modes,2018-06-19
10000238,Modular system,2018-06-19
10000239,Automobile vehicle body structure,2018-06-19
10000240,Vehicle high voltage equipment mounting for rear-end collisions,2018-06-19
10000241,Rocker reinforcement bracket having anti-corrosion holes,2018-06-19
10000242,Bottom rail assembly for trailers,2018-06-19
10000243,"Structural body of differing thicknesses, and method of manufacturing thereof",2018-06-19
10000244,Tiltable cabin,2018-06-19
10000245,Inflatable panel housing for an aerodynamic fairing assembly,2018-06-19
10000246,Vehicle with front spoiler,2018-06-19
10000247,Crawler track,2018-06-19
10000248,Rotatable robot foot with perpendicular soles,2018-06-19
10000249,Bicycle pedal,2018-06-19
10000250,Leaning vehicle with wheel speed sensor,2018-06-19
10000251,Motorcycle throttle lock cruise control,2018-06-19
10000252,Swingarm support structure,2018-06-19
10000253,Bicycle crank assembly,2018-06-19
10000254,Bicycle pedal,2018-06-19
10000255,Bicycle drive unit and bicycle equipped with the drive unit,2018-06-19
10000256,Bicycle sprocket,2018-06-19
10000257,Watercraft,2018-06-19
10000258,Vessel with selectively deployable hull members,2018-06-19
10000259,Suction anchor,2018-06-19
10000260,Systems and methods for pressure tolerant energy systems,2018-06-19
10000261,"System, method, and apparatus for stabilizing a boat",2018-06-19
10000262,"Data-processing device, program, recording medium and data-processing method for generation of data that indicates navigation performance of ship",2018-06-19
10000263,Underwater system and method,2018-06-19
10000264,Underwater watercraft,2018-06-19
10000265,Controlling buoyancy of an underwater vehicle using a dual-internal-reservoir configuration to enhance efficiency of inflating and deflating an external chamber,2018-06-19
10000266,Aquatic jet propulsion device,2018-06-19
10000267,Methods for trimming trimmable marine devices with respect to a marine vessel,2018-06-19
10000268,Systems and methods for controlling a marine vessel having a joystick with adjustable display,2018-06-19
10000269,Column based electric assist marine power steering,2018-06-19
10000270,"Moving body control device, moving body control method, and moving body control program",2018-06-19
10000271,Door construction with gap sealing device and method for sealing a gap between a door and a door frame,2018-06-19
10000272,Thermal acoustic insulation blankets,2018-06-19
10000273,Passive load alleviation for a fiber reinforced wing box of an aircraft with a stiffened shell structure,2018-06-19
10000274,Mitigation of surface discontinuities between flight control surfaces and an airframe of an aircraft,2018-06-19
10000275,Aircraft hybrid flight control system,2018-06-19
10000276,"Pushing device, moving mechanism and aircraft",2018-06-19
10000277,Perforated surface for suction-type laminar flow control,2018-06-19
10000278,Landing gear for an aircraft comprising an obstacle detector,2018-06-19
10000279,Retractable landing gear,2018-06-19
10000280,Device for mounting an aircraft tail wheel,2018-06-19
10000281,"Control method for controlling a buoyancy system for an aircraft, a buoyancy system, and an aircraft",2018-06-19
10000282,Aircraft landing gear assembly,2018-06-19
10000283,Negative spring compensation for elastomeric bearing torque,2018-06-19
10000284,Collaborative unmanned aerial vehicle for an inventory system,2018-06-19
10000285,Methods and systems for detecting and resolving failure events when raising and lowering a payload,2018-06-19
10000286,Pivot bin assembly with lift assist,2018-06-19
10000287,Drop down overhead galley stowage system,2018-06-19
10000288,Laterally and recline adjustable aircraft passenger seat,2018-06-19
10000289,Temperature control gasper apparatus,2018-06-19
10000290,Electro-expulsive deicing apparatuses comprising at least one standoff,2018-06-19
10000291,Aircraft evacuation slide,2018-06-19
10000292,Multipurpose lane divider for evacuation slide,2018-06-19
10000293,Gas-electric propulsion system for an aircraft,2018-06-19
10000294,Aircraft fuel tank flammability reduction method and system,2018-06-19
10000295,Aircraft fuel vent pipe,2018-06-19
10000296,Electrical control system,2018-06-19
10000297,Aircraft display systems and methods for generating horizontal situation indicator graphics with enhanced symbology,2018-06-19
10000298,Metrology system for positioning assemblies,2018-06-19
10000299,Self-repair structures and methods for making the same,2018-06-19
10000300,"Device for holding and aligning a useful component, in particular a space travel component",2018-06-19
10000301,Method for dispensing moist smokeless tobacco,2018-06-19
10000302,Method of forming a stack of cosmetic pads,2018-06-19
10000303,Container comprising integral film lid,2018-06-19
10000304,Method for sanitizing and filling containers,2018-06-19
10000305,Antioxidant-stabilized joint implants,2018-06-19
10000306,Variable volume containers useful in pack-off operations,2018-06-19
10000307,Transporter device and method for conveying objects to be labeled or stamped,2018-06-19
10000308,Automated labeling method and apparatus,2018-06-19
10000309,Labelling machine and method,2018-06-19
10000310,Inner seal with an overlapping partial tab layer,2018-06-19
10000311,Method and apparatus for constructing pallets,2018-06-19
10000312,Combination food storage and serving device,2018-06-19
10000313,Holder with bottle,2018-06-19
10000314,Container and method for making the same,2018-06-19
10000315,Collapsible cooler liner,2018-06-19
10000316,One-way valve for a compressible container and container with such a valve,2018-06-19
10000317,"Pail, closing ring, and method for assembling a pail",2018-06-19
10000318,Safety device against excess temperature,2018-06-19
10000319,Sealable drinking container with air-extracting mechanism for oxygenation suppression,2018-06-19
10000320,Wine cork with built-in gas activated mini-corkscrew,2018-06-19
10000321,"Tray system for display, storage and transportation of bottles",2018-06-19
10000322,Hang tag for displaying an object,2018-06-19
10000323,Packages and methods for manufacturing packages,2018-06-19
10000324,Packing bag and manufacturing method for the same,2018-06-19
10000325,Flexible stand-up pouch container for flowable products,2018-06-19
10000326,Plastic beer keg,2018-06-19
10000327,Tip indicator and packaging box equipped with same,2018-06-19
10000328,Vehicle fuel tank for improved crashworthiness,2018-06-19
10000329,Thermally insulated shipping container,2018-06-19
10000330,Modular spray cap,2018-06-19
10000331,"Bottle change apparatus, substrate treatment apparatus, bottle change method, bottle cap, bottle cap change apparatus and bottle cap change method",2018-06-19
10000332,Display and distribution package for eggs,2018-06-19
10000333,Shipping strap assembly for a vibratory screening machine,2018-06-19
10000334,Liquid holding container,2018-06-19
10000335,Capsule for preparing beverages,2018-06-19
10000336,Automated rack unloading apparatus,2018-06-19
10000337,Apparatus for retrieving units from a storage system,2018-06-19
10000338,Automated system for transporting payloads,2018-06-19
10000339,Gravity-fed housing for gasification system,2018-06-19
10000340,Vented bucket,2018-06-19
10000341,Conveyor system and method,2018-06-19
10000342,Conveying device for conveying goods and method for conveying goods,2018-06-19
10000343,"Vibratory conveying apparatus comprising trough attachment/detachment mechanism, and combination weighing apparatus",2018-06-19
10000344,Product flow regulator,2018-06-19
10000345,Conveyor device with flow limiting device,2018-06-19
10000346,Transporting element for a distributing conveyor of a sorter of a sorting installation,2018-06-19
10000347,Adjustable multi-hole orifice in a pneumatic conveying apparatus,2018-06-19
10000348,Assembly comprising a pallet lift and a palletizing device,2018-06-19
10000349,Drive transmission device and sheet conveying device and image forming apparatus provided with same,2018-06-19
10000350,Conveyor and recording apparatus including same,2018-06-19
10000351,Splicer device,2018-06-19
10000352,Electronic component supply apparatus and electronic component supply method,2018-06-19
10000353,Air vortex assisted sheet flipping device,2018-06-19
10000354,Conveyance apparatus and image recording apparatus,2018-06-19
10000355,Sheet processing device and image forming device provided with the sheet processing device,2018-06-19
10000356,Apparatus and method for a free-spinning wire dispensing reel,2018-06-19
10000357,Passive tensioning system for composite material payout control,2018-06-19
10000358,Rapid deployment frac water transfer system,2018-06-19
10000359,Collapsible cord spool,2018-06-19
10000360,Resizable cord holder for storing and unwinding cord bundles,2018-06-19
10000361,Hose winding device,2018-06-19
10000362,Elevator control device,2018-06-19
10000363,Pipe flange lifting apparatus,2018-06-19
10000364,Vehicle with winch,2018-06-19
10000365,Pulley for high-efficiency winch,2018-06-19
10000366,Brake torque control,2018-06-19
10000367,Method for operating a lift system,2018-06-19
10000368,Hoist system for retrofitting small scissor lift to access enclosed areas in building structure,2018-06-19
10000369,Beverage bottle closing machine being configured and disposed to close tops of filled beverage bottles with screw-type and other caps,2018-06-19
10000370,Container-less custom beverage vending invention,2018-06-19
10000371,Connector and socket,2018-06-19
10000372,Portable overflow prevention dispensing container,2018-06-19
10000373,Nano-electromechanical system (NEMS) device structure and method for forming the same,2018-06-19
10000374,MEMS component,2018-06-19
10000375,Structures and process for preventing a projection of the laser resealing structure beyond the wafer surface,2018-06-19
10000376,Method for producing a micro-electromechanical component and a micro-electromechanical component,2018-06-19
10000377,Nanostructured metal amides and nitrides for hydrogen storage,2018-06-19
10000378,Carbon monoxide shift reaction apparatus and carbon monoxide shift conversion method,2018-06-19
10000379,Process for the preparation of syngas,2018-06-19
10000380,Method for the manufacture of polymeric sulfur,2018-06-19
10000381,Systems and methods for growing a non-phase separated group-III nitride semiconductor alloy,2018-06-19
10000382,Method for carbon materials surface modification by the fluorocarbons and derivatives,2018-06-19
10000383,CO2 recovery apparatus and CO2 recovery method,2018-06-19
10000384,Method of laser direct synthesis of graphene,2018-06-19
10000385,Process of converting textile or plastic solid waste into activated carbon,2018-06-19
10000386,Method for forming of siliceous film and siliceous film formed using same,2018-06-19
10000387,Post-treatment of a zeolitic material,2018-06-19
10000388,Production of PCC,2018-06-19
10000389,System and method for controlling frothing during atmospheric leaching of metal sulphides using silicates,2018-06-19
10000390,Controlled microwave assisted synthesis of functionalized silica nanoparticles,2018-06-19
10000391,"Oil-water separation structure, method of preparing the same, oil-water separator, and oil-water separation method using oil-water separator",2018-06-19
10000392,Liquid treatment apparatus,2018-06-19
10000393,Enhancement of dewatering using soy flour or soy protein,2018-06-19
10000394,Compositions for removing hydrocarbons and halogenated hydrocarbons from contaminated environments,2018-06-19
10000395,High-magnesium concentrated liquid and high-magnesium potable-water mixing system,2018-06-19
10000396,Dissolution chamber system,2018-06-19
10000397,Multiple attached growth reactor system,2018-06-19
10000398,In-situ purification island structure and the construction method thereof,2018-06-19
10000399,Denitrification of saline industrial waste water,2018-06-19
10000400,Laundry wash water recycle system,2018-06-19
10000401,Produced water evaporation system,2018-06-19
10000402,Producing algal biomass and products from organic solid material,2018-06-19
10000403,"Organic-waste-processing apparatus, processing method, and control apparatus",2018-06-19
10000404,Glass manufacturing method using electric melting,2018-06-19
10000405,Stelvin/cork glass wine bottles,2018-06-19
10000407,Vacuum plate and method for manufacturing the same,2018-06-19
10000408,"Method for heating glass sheet, and glass tempering furnace",2018-06-19
10000409,Alkali-doped and alkali-free boroaluminosilicate glass,2018-06-19
10000410,Fast ion exchangeable glasses with high indentation threshold,2018-06-19
10000411,Insulating glass unit transparent conductivity and low emissivity coating technology,2018-06-19
10000412,Heat treatable coated glass pane,2018-06-19
10000413,Carbon-enhanced cement clinker,2018-06-19
10000414,Accelerated drying concrete compositions and methods of manufacturing thereof,2018-06-19
10000415,Insulating monolithic refractory material,2018-06-19
10000416,Lightweight gypsum products having enhanced water resistance,2018-06-19
10000417,"Fused cast refractory material based on aluminium oxide, zirconium dioxide and silicon dioxide, and use of such a material",2018-06-19
10000418,"Refractory product, use of zirconium dioxide, zirconium dioxide, method for manufacturing a refractory product and a refractory product manufactured therewith",2018-06-19
10000419,Compositions and methods associated with intercalating and exfoliating a sample,2018-06-19
10000420,Ceramic material and cutting tools made thereof,2018-06-19
10000421,Method of forming ceramic material containing aluminum particles,2018-06-19
10000422,Ceramic to ceramic joining method,2018-06-19
10000423,Direct metal bonding on carbon-covered ceramic contact projections of a ceramic carrier,2018-06-19
10000424,Fast firing method for ceramics,2018-06-19
10000425,Systems and methods for carbon structures incorporating silicon carbide whiskers,2018-06-19
10000426,Marking coating,2018-06-19
10000427,Phosphate solubilizing rhizobacteria bacillus firmus as biofertilizer to increase canola yield,2018-06-19
10000428,Method of processing organic waste,2018-06-19
10000429,Method and apparatus for operating a composter device,2018-06-19
10000430,Process for separating propylene mixed with propane by adsorption in a simulated moving bed,2018-06-19
10000431,"Process for the production of 1-chloro-3,3,3-trifluoropropene (HCFO-1233zd)",2018-06-19
10000432,Processes for the synthesis of chiral 1-alkanols,2018-06-19
10000433,Bisphenols and high-performance resins from terpenes,2018-06-19
10000435,Energy and environmentally integrated method for production of aromatic dicarboxylic acids by oxidation,2018-06-19
10000436,Method for preparing organic vapor-phase dehydration feedstock,2018-06-19
10000437,Nitrogen containing surfactants with alkoxylation on the hydroxyl group of fatty chains,2018-06-19
10000438,Small molecule inhibitors of TRPA1,2018-06-19
10000439,Process for producing alkyl acrylate,2018-06-19
10000440,Influencing the viscosity of N-butene-based ester mixtures by controlled use of ethene in the preparation of the ester precursors,2018-06-19
10000442,Certain metathesized natural oil triacylglycerol polyols for use in polyurethane applications and their related properties,2018-06-19
10000443,Compositions and methods for glucose transport inhibition,2018-06-19
10000444,Fluorine-containing ether monocarboxylic acid aminoalkyl ester and a method for producing the same,2018-06-19
10000445,Stable crystal modifications of DOTAP chloride,2018-06-19
10000446,Amino photo-reactive binder,2018-06-19
10000447,Compounds for targeting drug delivery and enhancing siRNA activity,2018-06-19
10000448,"Catalysts, methods, and systems for preparing carbamates",2018-06-19
10000449,Bisarylsulfonamides useful in the treatment of inflammation and cancer,2018-06-19
10000450,"N,N-substituted 3-aminopyrrolidine compounds useful as monoamines reuptake inhibitors",2018-06-19
10000451,MAP4K4 (HGK) inhibitors,2018-06-19
10000452,"Quinolone-based compounds, formulations, and uses thereof",2018-06-19
10000453,Chelation directed C—H activation reactions catalyzed by solid-supported palladium(II) catalysts,2018-06-19
10000454,Antidiabetic tricyclic compounds,2018-06-19
10000455,"Method for treating diseases associated with oxidative stress or endothelial dysfunction using substituted 1-pyrrolidinyloxy, 1-piperidinyloxy and 1-azepanyloxy compounds",2018-06-19
10000456,Polycyclic compounds as lysophosphatidic acid receptor antagonists,2018-06-19
10000457,Process for preparing imidazolium based ionic liquids with di-polymerized oxirane base,2018-06-19
10000458,"Production method of 1, 2, 4-triazole compound",2018-06-19
10000459,Heterocyclic compounds useful in the treatment of disease,2018-06-19
10000460,Chelate-controlled diastereoselective hydrogenation with heterogeneous catalyst,2018-06-19
10000461,Polycyclocarbonate compounds and polymers formed therefrom,2018-06-19
10000462,Optoelectronic material and organic optoelectronic device and image sensor,2018-06-19
10000463,Halogen-substituted heterocyclic compound,2018-06-19
10000464,"Process for preparing 3-[(4S)-8-bromo-1-methyl-6-(2-pyridinyl)-4H-imidazo[1,2-A][1,4]benzodiazepine-4-yl]propionic acid methyl ester or the benzene sulfonate salt thereof, and compounds useful in that process",2018-06-19
10000465,Antifungal compound process,2018-06-19
10000466,"Substituted 4,5,6,7-tetrahydropyrazolo[3,4-c]pyridines as factor XIa inhibitors",2018-06-19
10000467,Cyanine compounds,2018-06-19
10000468,Pyrazines as modulators of GPR6,2018-06-19
